elasticity,t-statistic,SE,1/SE,studyid,authorid,level
-0.473,-2.41,0.1962,5.09684,33,22,0
-0.47,-5.29,0.0888,11.26126,1,1,0
-0.467,-3.577,0.1305,7.66049,28,25,0
-0.467,-7.726,0.0605,16.52893,33,22,0
-0.466,-15.154,0.0308,32.51898,21,23,0
-0.466,-5.405,0.0862,11.59958,22,23,0
-0.465,-3.782,0.1229,8.1367,33,22,0
-0.465,-1,0.465,2.15054,64,49,0
-0.46,-8.138,0.0565,17.69912,33,22,0
-0.46,-7.08,0.065,15.38462,1,1,0
-0.456,-5.158,0.0884,11.31117,22,23,0
-0.456,-7.346,0.0621,16.10306,33,22,0
-0.455,-8.138,0.0559,17.88909,33,22,0
-0.455,-5.4,0.0843,11.86813,21,23,0
-0.454,-10.089,0.045,22.22222,32,27,0
-0.454,-16,0.0284,35.24229,21,23,0
-0.45,-5.5,0.0818,12.22494,1,1,0
-0.45,-11.176,0.0403,24.8366,21,23,0
-0.448,-1.6,0.28,3.57143,3,4,0
-0.447,-12.6,0.0355,28.18792,21,23,0
-0.446,-1.23,0.3624,2.75908,67,26,0
-0.44,-13.286,0.0331,30.19481,21,23,0
-0.431,-3.814,0.113,8.84956,32,39,0
-0.431,-6.962,0.0619,16.15385,21,23,0
-0.43,-4.25,0.1012,9.88142,1,1,0
-0.43,-2.15,0.2,5,1,1,0
-0.43,-4.8,0.0896,11.16279,21,23,0
-0.426,-16,0.0266,37.55869,21,23,0
-0.426,-12,0.0355,28.16901,21,23,0
-0.424,-6.25,0.0678,14.74057,21,23,0
-0.416,-5.216,0.0797,12.54705,33,22,0
-0.415,-2.709,0.1533,6.52507,30,25,0
-0.415,-2.65,0.1564,6.39324,67,10,0
-0.414,-5.292,0.0783,12.77139,33,22,0
-0.413,-10.938,0.0378,26.48305,21,23,0
-0.413,-2.684,0.1538,6.50081,30,25,0
-0.412,-3.136,0.1313,7.61615,33,22,0
-0.411,-5.75,0.0715,13.99027,21,23,0
-0.41,-2.6,0.1577,6.34146,65,8,0
-0.41,-2.04,0.201,4.97512,1,1,0
-0.406,-1.45,0.28,3.57143,32,39,0
-0.406,-11.5,0.0353,28.32512,21,23,0
-0.406,-15.333,0.0265,37.76683,21,23,0
-0.405,-5.085,0.0797,12.54705,33,22,0
-0.404,-2.99,0.1351,7.40099,62,5,0
-0.401,-5.438,0.0737,13.55985,32,39,0
-0.4,-1,0.4,2.5,12,15,0
-0.4,-4.27,0.0937,10.67236,1,1,0
-0.398,-5.34,0.0746,13.40483,57,44,0
-0.396,-5.5,0.072,13.88889,21,23,0
-0.395,-4.857,0.0814,12.28501,33,22,0
-0.392,-5.55,0.0707,14.14427,1,1,0
-0.392,-4.92,0.0796,12.56281,33,22,0
-0.39,-3.446,0.1131,8.84513,28,25,0
-0.39,-1.13,0.3451,2.89744,66,8,0
-0.389,-1.67,0.2331,4.29085,31,26,0
-0.387,-5.043,0.0767,13.03781,33,22,0
-0.383,-1.58,0.2421,4.13,28,25,0
-0.383,-2.5,0.1532,6.52742,22,23,0
-0.382,-2.498,0.1531,6.53168,33,22,0
-0.381,-5.339,0.0714,14.0056,57,44,0
-0.381,-4.69,0.0812,12.30971,62,5,0
-0.381,-1.5,0.254,3.93701,3,4,0
-0.38,-10.75,0.0353,28.28947,21,23,0
-0.38,-1.056,0.36,2.77778,14,17,0
-0.379,-2.558,0.1481,6.75219,33,22,0
-0.377,-3.66,0.103,9.70874,32,27,0
-0.375,-10.5,0.0357,28,21,23,0
-0.373,-3.926,0.095,10.52632,32,27,0
-0.372,-9.288,0.04,25,16,18,0
-0.371,-5.3,0.07,14.28571,32,27,0
-0.37,-4.157,0.089,11.23596,8,11,0
-0.369,-2.794,0.132,7.57576,33,22,0
-0.367,-6.696,0.0548,18.26087,21,23,0
-0.365,-1.74,0.2099,4.76321,31,26,0
-0.36,-6.864,0.0524,19.09091,21,23,0
-0.359,-4.693,0.0765,13.0719,33,22,0
-0.358,-2.37,0.151,6.62381,67,27,0
-0.354,-2.663,0.1329,7.5226,64,49,0
-0.35,-3.98,0.0879,11.38118,31,26,0
-0.35,-4.487,0.0781,12.8041,33,22,0
-0.345,-7.632,0.0452,22.10526,21,23,0
-0.344,-13.667,0.0252,39.72868,21,23,0
-0.341,-11.352,0.03,33.33333,16,18,0
-0.339,-13.333,0.0254,39.33137,21,23,0
-0.334,-2.375,0.1406,7.11078,22,23,0
-0.333,-1.291,0.258,3.87597,55,42,0
-0.333,-9,0.037,27.02703,33,22,0
-0.326,-11.077,0.0294,33.97829,22,23,0
-0.325,-3.2,0.1016,9.84252,33,22,0
-0.322,-2,0.1612,6.20479,59,2,0
-0.32,-3.556,0.09,11.11111,26,25,0
-0.318,-1.397,0.2276,4.39457,28,25,0
-0.318,-3.684,0.0863,11.58557,22,23,0
-0.317,-4.625,0.0685,14.58991,22,23,0
-0.316,-6,0.0527,18.98734,21,23,0
-0.314,-3,0.1045,9.56522,32,39,0
-0.311,-1.91,0.1626,6.1487,30,25,0
-0.31,-0.76,0.4079,2.45161,63,48,0
-0.308,-1.903,0.1621,6.16933,30,25,0
-0.308,-4.186,0.0736,13.58696,33,22,0
-0.305,-6,0.0508,19.67213,22,23,0
-0.304,-2.571,0.1182,8.45865,22,23,0
-0.302,-12.091,0.025,40.03612,22,23,0
-0.302,-12.091,0.025,40.03612,22,23,0
-0.302,-3.941,0.0766,13.05483,33,22,0
-0.302,-5,0.0604,16.55629,22,23,0
-0.302,-12.091,0.025,40.03612,21,23,0
-0.3,-1.444,0.2077,4.81481,12,2,0
-0.3,-2.09,0.1435,6.96667,63,48,0
-0.3,-2.01,0.1493,6.7,63,48,0
-0.3,-2.9,0.1033,9.67957,31,26,0
-0.3,-12.7,0.0236,42.33333,32,27,0
-0.3,-4.167,0.072,13.88889,58,45,0
-0.3,-4.009,0.0748,13.36898,33,22,0
-0.299,-2.149,0.1393,7.17875,33,22,0
-0.298,-6.632,0.0449,22.25362,32,27,0
-0.296,-4.073,0.0727,13.75516,33,22,0
-0.295,-11.818,0.025,40.06163,21,23,0
-0.295,-3.25,0.0908,11.01695,22,23,0
-0.293,-2.294,0.1275,7.84314,26,25,0
-0.293,-3.86,0.0758,13.19261,33,22,0
-0.291,-3.792,0.0766,13.05483,33,22,0
-0.29,-0.326,0.89,1.1236,14,17,0
-0.29,-8.832,0.0328,30.4878,57,44,0
-0.29,-4.692,0.0619,16.15385,21,23,0
-0.29,-16,0.0181,55.17241,32,39,0
-0.288,-2.154,0.1338,7.47384,33,22,0
-0.287,-11.455,0.0251,39.91131,22,23,0
-0.287,-4.705,0.061,16.39344,32,27,0
-0.286,-2.932,0.0976,10.25111,25,24,0
-0.286,-11.455,0.025,40.05086,22,23,0
-0.285,-7.116,0.04,25,16,18,0
-0.282,-2.952,0.0955,10.46944,22,23,0
-0.28,-2.545,0.11,9.09091,26,25,0
-0.28,-3.29,0.0851,11.75,66,8,0
-0.28,-2.07,0.1353,7.39286,63,48,0
-0.28,-3.521,0.0795,12.57862,33,22,0
-0.279,-9.288,0.03,33.33333,16,18,0
-0.278,-2.39,0.1163,8.60022,67,10,0
-0.278,-2.25,0.1234,8.10227,67,26,0
-0.274,-4.91,0.0558,17.91971,2,3,0
-0.274,-4.43,0.0617,16.19744,31,26,0
-0.273,-2.286,0.1194,8.37258,21,23,0
-0.271,-3.501,0.0773,12.93661,33,22,0
-0.27,-3.132,0.0862,11.59844,22,23,0
-0.27,-4.125,0.0655,15.27778,27,25,0
-0.269,-10,0.0269,37.17472,21,23,0
-0.269,-3.105,0.0866,11.54373,22,23,0
-0.268,-3.671,0.073,13.69863,32,39,0
-0.267,-3.733,0.0714,14,21,23,0
-0.267,-6.444,0.0414,24.1365,32,39,0
-0.266,-6.641,0.04,25,16,18,0
-0.265,-9.8,0.027,36.98113,21,23,0
-0.263,-0.841,0.3131,3.19389,28,25,0
-0.262,-4.1,0.064,15.625,29,25,0
-0.262,-4.1,0.064,15.625,29,25,0
-0.262,-4.1,0.064,15.625,29,25,0
-0.262,-4.1,0.064,15.625,29,25,0
-0.257,-4,0.0643,15.55556,32,27,0
-0.257,-1.11,0.2312,4.3258,67,26,0
-0.256,-4,0.064,15.625,29,25,0
-0.254,-6.5,0.0391,25.59055,22,23,0
-0.252,-1.529,0.165,6.05954,28,25,0
-0.252,-3.313,0.0762,13.125,21,23,0
-0.25,-2.324,0.1076,9.29412,49,25,0
-0.25,-3.571,0.07,14.28571,26,25,0
-0.25,-1.438,0.1739,5.75,49,25,0
-0.248,-1,0.248,4.03226,22,23,0
-0.243,-4.08,0.0595,16.80395,31,26,0
-0.241,-3.55,0.0678,14.75478,31,26,0
-0.24,-2.15,0.1118,8.94343,67,10,0
-0.24,-1.08,0.2222,4.5,66,8,0
-0.24,-3.444,0.0697,14.35185,27,25,0
-0.24,-3.741,0.0643,15.55556,32,27,0
-0.24,-1.52,0.1579,6.33312,1,1,0
-0.24,-1.717,0.1397,7.1558,49,25,0
-0.24,-3.741,0.0643,15.55556,21,23,0
-0.24,-0.73,0.3288,3.04167,66,8,0
-0.237,-2.21,0.1072,9.32489,8,11,0
-0.237,-3.99,0.0594,16.83544,2,3,0
-0.233,-4.261,0.0548,18.26087,21,23,0
-0.231,-4.53,0.051,19.61039,62,5,0
-0.23,-2.118,0.1086,9.20716,49,25,0
-0.23,-2.09,0.11,9.08696,65,8,0
-0.23,-3.09,0.0744,13.43478,66,8,0
-0.229,-6,0.0381,26.25,21,23,0
-0.226,-4.22,0.0536,18.67257,2,3,0
-0.226,-3.229,0.07,14.28571,25,24,0
-0.224,-3.918,0.0571,17.51313,57,44,0
-0.224,-1.424,0.1571,6.36364,32,27,0
-0.222,-2.167,0.1025,9.75976,22,23,0
-0.222,-9.4,0.0236,42.34234,32,27,0
-0.221,-4.65,0.0476,21,21,23,0
-0.221,-2.947,0.075,13.33333,58,45,0
-0.22,-1.581,0.1391,7.18816,49,25,0
-0.22,-0.579,0.38,2.63158,14,17,0
-0.22,-0.69,0.3188,3.13636,66,8,0
-0.22,-2,0.11,9.09091,27,25,0
-0.22,-1.448,0.1519,6.58307,49,25,0
-0.22,-1.55,0.1419,7.04722,1,1,0
-0.219,-1.915,0.1145,8.73239,36,30,0
-0.218,-2.231,0.0975,10.25641,26,25,0
-0.218,-4.8,0.0455,22,21,23,0
-0.217,-1.82,0.119,8.40259,67,27,0
-0.217,-9.2,0.0236,42.39631,32,27,0
-0.215,-6.107,0.0352,28.40085,32,39,0
-0.214,-4.737,0.0452,22.10526,21,23,0
-0.212,-2.099,0.101,9.90099,25,24,0
-0.211,-2.538,0.0832,12.01923,29,25,0
-0.211,-1.72,0.1226,8.15552,67,26,0
-0.21,-1.6,0.1313,7.61905,49,25,0
-0.21,-1.258,0.1669,5.99078,49,25,0
-0.21,-1.25,0.168,5.95238,49,25,0
-0.21,-1.03,0.2039,4.90436,1,1,0
-0.21,-2.2,0.0955,10.47619,27,25,0
-0.21,-3.2,0.0656,15.2381,13,16,0
-0.21,-4.937,0.0425,23.54036,28,25,0
-0.21,-2.91,0.0721,13.87697,31,26,0
-0.21,-1.61,0.1305,7.66551,49,25,0
-0.21,-2.99,0.0702,14.2381,66,8,0
-0.209,-4.034,0.0518,19.30375,22,23,0
-0.208,-2.676,0.0777,12.86765,22,23,0
-0.208,-1.522,0.1367,7.31529,33,22,0
-0.208,-2.85,0.073,13.70192,2,3,0
-0.207,-4.42,0.0468,21.35266,62,5,0
-0.206,-4.716,0.0436,22.91908,28,25,0
-0.205,-1.561,0.1314,7.61035,33,22,0
-0.205,-2.663,0.077,12.99024,64,49,0
-0.205,-1.963,0.1044,9.57561,17,19,0
-0.204,-3.583,0.0569,17.56536,21,23,0
-0.204,-4.117,0.0496,20.16129,57,44,0
-0.204,-3.517,0.058,17.24138,32,39,0
-0.202,-1.813,0.1116,8.95784,28,25,0
-0.2,-2.909,0.0688,14.54545,27,25,0
-0.2,-3.18,0.0629,15.9,7,9,0
-0.2,-6.25,0.032,31.25,27,25,0
-0.2,-0.75,0.2667,3.75,12,15,0
-0.2,-0.909,0.22,4.54545,14,17,0
-0.2,-0.75,0.2667,3.75,12,15,0
-0.2,-0.8,0.25,4,12,15,0
-0.2,-0.857,0.2333,4.28571,12,2,0
-0.198,-1.8,0.11,9.09091,8,11,0
-0.198,-4.429,0.0448,22.32143,29,25,0
-0.197,-14,0.0141,71.06599,22,23,0
-0.196,-4.074,0.0481,20.78609,22,23,0
-0.194,-2.039,0.0952,10.50305,28,25,0
-0.192,-1.83,0.1046,9.55614,31,26,0
-0.192,-0.67,0.2862,3.49466,60,46,0
-0.19,-2.472,0.0769,13.0117,25,24,0
-0.19,-1.727,0.11,9.09091,27,25,0
-0.19,-2,0.095,10.52632,49,25,0
-0.19,-1.75,0.1086,9.21053,63,48,0
-0.19,-3.795,0.05,20,16,18,0
-0.19,-3.75,0.0507,19.73684,25,24,0
-0.19,-2.375,0.08,12.5,27,25,0
-0.189,-8.889,0.0213,47.03116,32,27,0
-0.186,-1.52,0.1225,8.16439,28,25,0
-0.186,-3.895,0.0478,20.92694,32,39,0
-0.185,-2.86,0.0647,15.45946,2,3,0
-0.184,-7.8,0.0236,42.3913,32,27,0
-0.184,-2.663,0.0691,14.47283,64,49,0
-0.182,-4.395,0.0415,24.09639,33,22,0
-0.182,-5.067,0.036,27.77778,14,17,0
-0.181,-4.208,0.043,23.25046,22,23,0
-0.18,-5.75,0.0313,31.94444,27,25,0
-0.18,-1.04,0.1731,5.77701,1,1,0
-0.18,-2.25,0.08,12.5,27,25,0
-0.18,-0.375,0.48,2.08333,26,25,0
-0.18,-4.158,0.0432,23.15789,21,23,0
-0.18,-2.889,0.0623,16.04938,26,25,0
-0.177,-2.44,0.0725,13.7931,31,26,0
-0.177,-4.333,0.0409,24.44444,21,23,0
-0.177,-5.25,0.0337,29.66102,21,23,0
-0.176,-2.701,0.0653,15.32048,51,31,0
-0.176,-2,0.088,11.36364,22,23,0
-0.176,-2.32,0.0759,13.18182,2,3,0
-0.175,-2.407,0.0728,13.73626,33,22,0
-0.174,-5.125,0.034,29.45402,21,23,0
-0.174,-3.73,0.0466,21.43678,2,3,0
-0.173,-1.259,0.1373,7.28332,33,22,0
-0.17,-2.833,0.06,16.66667,27,25,0
-0.17,-1.308,0.13,7.69231,27,25,0
-0.17,-3,0.0567,17.64706,26,25,0
-0.17,-1.308,0.13,7.69231,26,25,0
-0.17,-3.4,0.05,20,26,25,0
-0.17,-1.667,0.102,9.80392,26,25,0
-0.17,-2.712,0.0628,15.9342,51,31,0
-0.168,-2.229,0.0754,13.26531,25,24,0
-0.167,-3.043,0.0548,18.26087,21,23,0
-0.167,-2.275,0.0735,13.60544,33,22,0
-0.166,-3,0.0553,18.07229,22,23,0
-0.165,-1.173,0.1402,7.13267,33,22,0
-0.164,-3.966,0.0414,24.17998,22,23,0
-0.163,-5.8,0.0281,35.58282,2,3,0
-0.162,-4.27,0.0379,26.35802,31,26,0
-0.161,-3,0.0537,18.63354,22,23,0
-0.16,-0.714,0.224,4.46429,26,25,0
-0.16,-2.75,0.0582,17.1875,26,25,0
-0.16,-3.2,0.05,20,26,25,0
-0.16,-1.087,0.1472,6.79348,49,25,0
-0.16,-5.96,0.0268,37.25,2,3,0
-0.16,-0.909,0.176,5.68182,49,25,0
-0.16,-2.48,0.0645,15.5,66,8,0
-0.159,-2.244,0.0708,14.13098,51,31,0
-0.158,-2.021,0.0782,12.78305,51,31,0
-0.157,-4.02,0.039,25.64103,6,7,0
-0.156,-2.9,0.0538,18.60167,31,26,0
-0.154,-5.75,0.0268,37.33766,22,23,0
-0.153,-3.18,0.048,20.82515,31,26,0
-0.153,-0.598,0.2558,3.9099,21,23,0
-0.153,-0.598,0.2558,3.9099,21,23,0
-0.153,-3.576,0.0428,23.36635,28,25,0
-0.152,-2.244,0.0676,14.78261,51,31,0
-0.151,-3.13,0.0481,20.76974,31,26,0
-0.15,-1.08,0.1389,7.19942,1,1,0
-0.15,-1.154,0.13,7.69231,27,25,0
-0.15,-1.98,0.0758,13.2,2,3,0
-0.15,-3.2,0.0469,21.33333,13,16,0
-0.15,-1.5,0.1,10,41,17,0
-0.15,-1.04,0.1442,6.93481,1,1,0
-0.15,-3.75,0.04,25,26,25,0
-0.15,-1.515,0.099,10.10101,25,24,0
-0.149,-3.425,0.0436,22.92913,28,25,0
-0.149,-2.45,0.0608,16.44295,2,3,0
-0.148,-3.08,0.0481,20.81081,2,3,0
-0.148,-1.757,0.0842,11.86998,22,23,0
-0.148,-4.935,0.03,33.33333,16,18,0
-0.147,-4.34,0.0339,29.52381,2,3,0
-0.146,-0.612,0.239,4.18354,30,25,0
-0.146,-2.704,0.054,18.51852,32,27,0
-0.144,-2.52,0.0571,17.5,34,28,0
-0.144,-2.616,0.055,18.19459,30,25,0
-0.143,-6.5,0.022,45.45455,6,7,0
-0.143,-2.134,0.067,14.92537,55,42,0
-0.143,-1.269,0.1125,8.89189,30,25,0
-0.143,-2.222,0.0643,15.55556,21,23,0
-0.142,-2.214,0.0639,15.64945,33,22,0
-0.142,-2.611,0.0542,18.44729,30,25,0
-0.142,-3.29,0.0432,23.16901,2,3,0
-0.142,-2.536,0.056,17.85714,32,27,0
-0.142,-3.5,0.0406,24.64789,22,23,0
-0.141,-3.82,0.0369,27.0922,2,3,0
-0.141,-1.516,0.093,10.75269,32,27,0
-0.14,-5.75,0.0243,41.07143,27,25,0
-0.14,-2.333,0.06,16.66667,26,25,0
-0.14,-3.5,0.04,25,26,25,0
-0.14,-1.313,0.1069,9.35105,28,25,0
-0.14,-2.875,0.0487,20.53571,27,25,0
-0.14,-1.182,0.1185,8.44156,49,25,0
-0.14,-4.077,0.0343,29.12088,25,24,0
-0.14,-2.571,0.0544,18.36735,27,25,0
-0.14,-4.152,0.0338,29.61794,28,25,0
-0.14,-1.35,0.1037,9.64286,49,25,0
-0.14,-1.238,0.1131,8.84019,30,25,0
-0.14,-2.429,0.0576,17.34694,27,25,0
-0.14,-0.4,0.35,2.85714,66,8,0
-0.138,-3.53,0.0391,25.57971,2,3,0
-0.138,-2.36,0.0585,17.10145,2,3,0
-0.136,-1.667,0.0816,12.2549,22,23,0
-0.135,-4.53,0.0298,33.55556,2,3,0
-0.134,-3.105,0.0432,23.15789,21,23,0
-0.134,-4.2,0.032,31.25,29,25,0
-0.134,-2.73,0.049,20.38894,59,2,0
-0.134,-1.46,0.092,10.87118,67,10,0
-0.134,-4,0.0335,29.85075,22,23,0
-0.134,-2.625,0.0512,19.53125,29,25,0
-0.133,-5.875,0.0226,44.2444,32,39,0
-0.133,-2.34,0.0568,17.59398,67,27,0
-0.132,-2,0.066,15.15152,22,23,0
-0.132,-2.5,0.0528,18.93939,22,23,0
-0.132,-3.67,0.036,27.80303,2,3,0
-0.131,-1,0.131,7.63359,3,4,0
-0.13,-0.189,0.689,1.45138,22,23,0
-0.13,-3.5,0.0371,26.92308,27,25,0
-0.13,-5.25,0.0248,40.38462,27,25,0
-0.13,-3.636,0.0357,28.00909,28,25,0
-0.13,-5.267,0.0247,40.47761,32,27,0
-0.13,-3.86,0.0337,29.69231,66,8,0
-0.13,-4.57,0.0284,35.15385,66,8,0
-0.13,-1.625,0.08,12.5,26,25,0
-0.128,-3.333,0.0384,26.04167,29,25,0
-0.124,-1.348,0.0917,10.90513,33,22,0
-0.124,-2.279,0.0545,18.34862,57,44,0
-0.123,-1.974,0.0623,16.05136,33,22,0
-0.122,-2.033,0.06,16.66667,11,14,0
-0.121,-1.923,0.0628,15.91998,30,25,0
-0.121,-3.667,0.026,38.46154,6,7,0
-0.121,-1.934,0.0628,15.91998,30,25,0
-0.12,-0.706,0.17,5.88235,27,25,0
-0.12,-1.325,0.0907,11.02536,33,22,0
-0.12,-1.6,0.075,13.33333,26,25,0
-0.12,-2,0.06,16.66667,27,25,0
-0.12,-1.9,0.0632,15.83333,1,1,0
-0.12,-2.26,0.0531,18.83333,65,8,0
-0.12,-1.7,0.0706,14.16667,13,16,0
